tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Triloka Lion Air ( Samping Halim ),Cipinang Melayu,Makasar,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,BKT ( Jembatan RS Duren Sawit ),Pondok Bambu,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Raya Kresek,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.H.Raya No.3,Gandaria Utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,GOR Cempaka Putih,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.DPR Raya ( STEKPI ),Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,5000000,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Komplek Kejaksaan ,Gg.Gamala III",Jatipadang,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,RPTRA Waru Timur,Kebagusan,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Raya Pasar Minggu No.8,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,300000000,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Bangka XI No.78,Bangka,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Latumenten,Angke,Tambora,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-06,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Benyamin Sueb,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Penjagaan SYCHONIZE FEST,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
